STATIONS_ID;MESS_DATUM;  QN;DS_10;GS_10;SD_10;LS_10;eor
       1420;202001011650;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011700;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011710;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011720;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011730;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011740;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011750;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011800;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011810;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011820;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011830;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011840;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011850;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011900;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011910;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011920;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011930;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011940;    3;  -999;  -999;   0.000;-999;eor
       1420;202001011950;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012000;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012010;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012020;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012030;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012040;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012050;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012100;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012110;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012120;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012130;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012140;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012150;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012200;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012210;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012220;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012230;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012240;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012250;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012300;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012310;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012320;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012330;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012340;    3;  -999;  -999;   0.000;-999;eor
       1420;202001012350;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020000;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020010;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020020;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020030;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020040;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020050;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020100;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020110;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020120;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020130;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020140;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020150;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020200;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020210;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020220;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020230;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020240;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020250;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020300;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020310;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020320;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020330;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020340;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020350;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020400;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020410;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020420;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020430;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020440;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020450;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020500;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020510;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020520;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020530;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020540;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020550;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020600;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020610;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020620;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020630;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020640;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020650;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020700;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020710;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020720;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020730;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020740;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020750;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020800;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020810;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020820;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020830;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020840;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020850;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020900;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020910;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020920;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020930;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020940;    3;  -999;  -999;   0.000;-999;eor
       1420;202001020950;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021000;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021010;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021020;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021030;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021040;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021050;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021100;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021110;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021120;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021130;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021140;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021150;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021200;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021210;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021220;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021230;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021240;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021250;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021300;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021310;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021320;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021330;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021340;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021350;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021400;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021410;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021420;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021430;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021440;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021450;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021500;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021510;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021520;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021530;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021540;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021550;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021600;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021610;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021620;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021630;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021640;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021650;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021700;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021710;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021720;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021730;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021740;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021750;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021800;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021810;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021820;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021830;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021840;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021850;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021900;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021910;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021920;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021930;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021940;    3;  -999;  -999;   0.000;-999;eor
       1420;202001021950;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022000;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022010;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022020;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022030;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022040;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022050;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022100;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022110;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022120;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022130;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022140;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022150;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022200;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022210;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022220;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022230;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022240;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022250;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022300;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022310;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022320;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022330;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022340;    3;  -999;  -999;   0.000;-999;eor
       1420;202001022350;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030000;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030010;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030020;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030030;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030040;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030050;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030100;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030110;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030120;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030130;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030140;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030150;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030200;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030210;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030220;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030230;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030240;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030250;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030300;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030310;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030320;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030330;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030340;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030350;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030400;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030410;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030420;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030430;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030440;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030450;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030500;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030510;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030520;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030530;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030540;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030550;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030600;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030610;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030620;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030630;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030640;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030650;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030700;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030710;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030720;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030730;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030740;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030750;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030800;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030810;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030820;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030830;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030840;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030850;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030900;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030910;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030920;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030930;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030940;    3;  -999;  -999;   0.000;-999;eor
       1420;202001030950;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031000;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031010;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031020;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031030;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031040;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031050;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031100;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031110;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031120;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031130;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031140;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031150;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031200;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031210;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031220;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031230;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031240;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031250;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031300;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031310;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031320;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031330;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031340;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031350;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031400;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031410;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031420;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031430;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031440;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031450;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031500;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031510;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031520;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031530;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031540;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031550;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031600;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031610;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031620;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031630;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031640;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031650;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031700;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031710;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031720;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031730;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031740;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031750;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031800;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031810;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031820;    3;  -999;  -999;   0.000;-999;eor
       1420;202001031830;    3;  -999;  -999;   0.000;-999;eor
